,3.1 I,3.1 II,3.2 I,3.2 II,3.2 III,3.3 I,3.3 II,3.4 I,3.4 II,3.4 III,3.5 I,3.5 II,3.6 I,3.6 III,3.7 I,3.7 II,3.7 III,3.8 I,3.8 II,4.0 I,4.0 II,4.1 I,4.1 II,4.2 I,4.2 II,4.3 I,4.3 II,4.4 I,4.4 II,4.5 I,4.5 II,4.6 I,4.6 II,4.7 I,4.7 II,4.8 I,5.0 I,5.1 I,5.1 II,5.2 I,5.3 I,5.4 I,5.4 II,5.5 I,5.6 I,5.6 II,5.7 I,5.8 I,6.0 I,6.0 II,6.1 I
Qiqi,0.14194168302592852,0.14530551340490278,0.1486133432296695,0.14108331138537325,0.14112591461123786,0.1433457626917319,0.14658578332715463,0.1394640227201923,0.13906856979857146,0.12836723385466267,0.13348641292922314,0.14008631014815656,0.1400185949573541,0.13179372663520378,0.11948177862376601,0.09174069798492897,0.0797860048370635,0.1081387362206127,0.10564678259280103,0.12294727852385112,0.1270736484850013,0.11429415528347038,0.1234828900151026,0.11445684465467618,0.09825863496582357,0.11407307698377717,0.11229366293411887,0.12126509926970717,0.1169040708874779,0.11594800302987088,0.10737187904158806,0.10016875211233232,0.0873021460713786,0.11031519004554413,0.0834140336639615,0.10259993990392993,0.07861372928781203,0.08696959318588109,0.08748639998773804,0.07903861784098744,0.09966984932773817,0.09653377704906224,0.0882739387454105,0.08723772552690674,0.0816326963996493,0.07913021185095405,0.09005119227011693,0.07093145782501854,0.08897369494847825,0.05218378060259972,0.06045260291166711
Raiden Shogun,0.15681011125715671,0.1483932933444855,0.15058739107208738,0.1528066216888876,0.14913865826567088,0.14595865990701473,0.14971791470592988,0.15099865498516277,0.15164861988047,0.14871928423904088,0.15081252965971095,0.1490293961338824,0.15557515500433167,0.15282345371286415,0.15525380025880198,0.16911490716363584,0.1674318535387625,0.1671658726226165,0.16666916635250986,0.1589518961269134,0.15748601255831077,0.1390589306690906,0.12268012429892051,0.15315061055592102,0.14956671122512794,0.11657564504946352,0.13318362116942908,0.12617988788213255,0.13773237048374437,0.12733097684174938,0.13429089287398943,0.12329408961106231,0.12917756307050768,0.14310898623016016,0.1545943922481238,0.14218886077640885,0.13636068544759186,0.13187729097517145,0.1274371619219986,0.1244201929601609,0.11440354964095219,0.11654858857154321,0.13252897810263714,0.12394134979051477,0.12117726468798003,0.1197467987516415,0.11532636104355241,0.1379491909724381,0.13673356794846553,0.1186767283161489,0.11335619221320696
Razor,0.1082522144539701,0.09242920206351628,0.09771060976900096,0.05130184282578949,0.051573009769338776,0.052192650600681165,0.07729651534349802,0.08805702743966672,0.0588111523475258,0.09228617585141227,0.0552803850646976,0.04630122817337536,0.06395366887025446,0.0421327733355107,0.05902284780206963,0.023328113248999284,0.0236458624732478,0.031987974540120645,0.047495949859374595,0.02042878801361588,0.053566904000979194,0.04882485952556794,0.06153942245192759,0.03981806124540146,0.05860866419934984,0.06071957694107525,0.08232151183599686,0.05962821643593269,0.07063051160281342,0.06921946575498159,0.04869176420108503,0.03134365187583512,0.03951701168880221,0.05174668022580389,0.023177418645659052,0.03633309863282084,0.021845906961196274,0.058337994412221685,0.035658139733909126,0.03426985345039388,0.019105458144322563,0.04007545199452888,0.04867226106059083,0.03787243190657303,0.04269361714129715,0.03284695089004789,0.03231389343460261,0.03206971927458866,0.038121993311745025,0.04225662653352997,0.02876528667203812
Rosaria,0.12567971367344571,0.1322872431546057,0.1339243831444626,0.13367290189513698,0.12347020916324426,0.11941532972854915,0.11851295383489367,0.12546111752814326,0.12265930157659241,0.1287417881788724,0.12266899275668401,0.12477695677280491,0.10591493404286392,0.11675855496775273,0.11123122530054035,0.09391356824938714,0.09365582286025471,0.1139183534044616,0.12225638402355002,0.10256497882410909,0.11226186555757861,0.11731194394238795,0.11578762783986107,0.0819468259265885,0.09340673325272603,0.11237044330497761,0.10132443085148132,0.09973709427877064,0.09973998887720456,0.10736606013695957,0.10498398490834414,0.0986361479271459,0.10294192936769368,0.09086237796526907,0.06920529001161856,0.08638790638250793,0.09842597671932378,0.07800349681051752,0.07567748523539185,0.07463264713026682,0.11098842714512294,0.09616746276699499,0.09183350377174401,0.1115376433442002,0.1008484657483087,0.13099729175821628,0.12509606152433442,0.08723021585007104,0.06326886430743409,0.05934516570525498,0.04167974022292186
Sangonomiya Kokomi,0.1537835496506953,0.15579703996914554,0.14685400110870342,0.15065843496668108,0.15520287093191423,0.15315876823032804,0.1500673361305391,0.1464311243532445,0.14951847110183006,0.14986787251197986,0.14671477689962564,0.1432814102527922,0.14963717797791537,0.1449527136419475,0.15408157778020537,0.15899821630544914,0.16150233664365077,0.16400409994860643,0.1690083899789525,0.1628811031459101,0.15807560745285287,0.15106254260713722,0.1487694005139427,0.14525778913386722,0.15235730220099347,0.14539102976679294,0.13683718090842367,0.13924523760821925,0.13741747202762689,0.13764240998328164,0.13409201045858554,0.13207741297922193,0.14106431169729372,0.142648025762453,0.14782436363567705,0.13281890044474362,0.1257937198290661,0.1278705131753557,0.12710247487599818,0.13045668085433348,0.10684974381521668,0.12008219068110178,0.12001564806098855,0.10386081298139209,0.0920638400197893,0.10762812766655834,0.10638712811708617,0.1252153180689321,0.1317021272242288,0.13058670719008236,0.1230270787665994
Sayu,0.10995067586012575,0.10276078227557298,0.09720247172660434,0.08433280391630031,0.0773122740091363,0.09594276691122226,0.08192890717593768,0.11491626550750346,0.08640886548901534,0.10291476445155245,0.10225603269341647,0.09478347289236119,0.10251073807402156,0.08660943537952118,0.083874126426122,0.06371064472503382,0.04648224958821831,0.07600344975474702,0.07469356280733028,0.07147647329356992,0.08124062820545279,0.08769992360909859,0.09492998649267448,0.09345404615230729,0.10240769406022328,0.10240485482855795,0.09416726221612254,0.0940110003991076,0.09028795176321283,0.08943809235205218,0.09426730623245469,0.06468288878140852,0.06158149475553813,0.07838868033790006,0.05624085906587265,0.06872332776564179,0.0594314613348443,0.07000676800393783,0.06103120961408591,0.042923951921698456,0.05513431401820329,0.06451317882057526,0.05541568426001349,0.04548436625617336,0.050586915039949366,0.035189972359262536,0.0421587991318562,0.05602778438446952,0.06326624318395811,0.04126047380321617,0.03755508582551931
Sethos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06726905742866324,0.049335849786406566,0.027673840643160256,0.03001027037485452,0.022976506098970267,0.06846693934826564,0.03401055273786466,0.025986705007377334,0.056924544108282314,0.04866539121835511,0.013594366924877779,0.029366112242704922,,0.04190902613206039,0.0561974321469613,0.052506701254447063,0.0390901061013724,0.02272856379671726
Shenhe,0.11036079009916061,0.11105624634622084,0.11035516073125358,0.11108194736159327,0.11030484946143673,0.09631527298147007,0.09902871265669065,0.089964429604337,0.10173003052983921,0.09408644505776897,0.09445706271986791,0.1183944107786028,0.11965251210655051,0.11754187382741527,0.0902392801150058,0.10900143128821906,0.09191642474804174,0.09403015438035721,0.08691904075204569,0.09423577041547897,0.09604789153062429,0.11255568187165267,0.10114870134039984,0.10331274122410311,0.10427625296253455,0.09359653624430261,0.09913811905023567,0.10431136317334488,0.09845058037590622,0.0948829361442676,0.10034698548715495,0.09340685834396716,0.09693740006146387,0.08719426410861693,0.08312233893656192,0.09146566944304567,0.09093388427239518,0.0849833276836108,0.08575196284531648,0.10122138839720624,0.10281434953026601,0.1034535641424963,0.09971193789253081,0.11054670661985301,0.093307681494348,0.10801547281231756,0.11408176787882594,0.09020915033007817,0.09394648719713906,0.08380199779500895,0.08524018633324203
Shikanoin Heizou,0.1134527725137104,0.09357408454684894,0.10821261020806212,0.11656287690227374,0.09468427593420806,0.09943844509632953,0.11507991918325775,0.11325389357645996,0.09618474834351552,0.10254017023859607,0.07989358740673644,0.0922035491074889,0.07802339903725107,0.06234267433998532,0.0868446735778577,0.06301820247099844,0.05509723618040103,0.05234440209797863,0.060573527018138555,0.055151793317948346,0.06971999969359804,0.06863063186517253,0.09932654486516536,0.10327400692754717,0.10782179625510693,0.10252878184334278,0.09420063366266479,0.10328729840310613,0.09074705886280703,0.09762490139881935,0.09458644924987925,0.08361734063920834,0.08688545802274748,0.08039581460276625,0.08702929867570805,0.08121654093642039,0.07984526452881309,0.07207145725540703,0.05950173193906287,0.054461223227890536,0.04410719096896571,0.07528213477577726,0.06883012921526717,0.0487395631865982,0.047369218336996616,0.02572938844861276,0.027467389274084587,0.0628018927921724,0.0510985016257962,0.039981966115466554,0.0288991590008407
Sigewinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142371752157696,0.13487256040345857,0.12430453533165291,0.12198179572171555,0.13196530106329663,0.11525491234717544,0.10701959942885804,0.11374809712780984,0.1151053244704951,0.11483870953768861,0.11360677615064503,0.1049920501710717,0.10269443784778863,0.12154198309770038,0.12218914994862291,0.1084304856058833,0.11461849215392238
